Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
410;Lu. Eisleben, Oberhütte;2602;de:15087:2602;Eisleben;15087130;11,544933;51,548308
410;Lu. Eisleben, Plan (Zentrum);3368;de:15087:3368;Eisleben;15087130;11,549509;51,527775
410;Lu. Eisleben, Rathenaustr.;2605;de:15087:2605;Eisleben;15087130;11,554847;51,520403
410;Quenstedt;2317;de:15087:2317;Arnstein;15087031;11,453856;51,698016
410;Quenstedt, Fabrik;20018;de:15087:20018;Arnstein;15087031;11,450660;51,687340
410;Siersleben;2180;de:15087:2180;Gerbstedt;15087165;11,544364;51,603690
410;Siersleben, Bahnhof (Bus);2181;de:15087:2181;Gerbstedt;15087165;11,537033;51,612543
410;Sylda;2176;de:15087:2176;Arnstein;15087031;11,425983;51,678090
410;Thälmannschacht (Hübitz), Abzweig;2178;de:15087:2178;Eisleben;15087130;11,544940;51,584062
410;Volkstedt;2138;de:15087:2138;Eisleben;15087130;11,555267;51,560058
410;Volkstedt, Abzweig;2165;de:15087:2165;Eisleben;15087130;11,545146;51,559874
410;Walbeck (b. Hettstedt);2139;de:15087:2139;Hettstedt;15087220;11,473366;51,662645
420;Ahlsdorf;2790;de:15087:2790;Ahlsdorf;15087010;11,470495;51,545540
420;Benndorf (Mansfelder Land), Bahnhof Klostermansfeld (Bus);5712;de:15087:5712;Benndorf;15087045;11,491768;51,574910
420;Benndorf (Mansfelder Land) (Bus);2685;de:15087:2685;Benndorf;15087045;11,493380;51,571163
420;Großörner, Am Krankenhaus;2552;de:15087:2552;Mansfeld;15087275;11,482242;51,611629
420;Großörner, Mansfelder Str.;2551;de:15087:2551;Mansfeld;15087275;11,491724;51,617856
420;Helbra (Bus);2523;de:15087:2523;Helbra;15087205;11,488109;51,556271
420;Helbra, Friedhof;2517;de:15087:2517;Helbra;15087205;11,479793;51,555305
420;Helbra, Lehbreite;2518;de:15087:2518;Helbra;15087205;11,498344;51,554624
420;Helbra, Neptunbad;2519;de:15087:2519;Helbra;15087205;11,489228;51,561173
420;Hergisdorf;2511;de:15087:2511;Hergisdorf;15087210;11,480279;51,536946
420;Hettstedt, Busbahnhof;2499;de:15087:2499;Hettstedt;15087220;11,511128;51,644430
420;Hettstedt, Klubhaustreppe;2481;de:15087:2481;Hettstedt;15087220;11,506432;51,636322
420;Hettstedt, KME;2463;de:15087:2463;Hettstedt;15087220;11,503348;51,626230
420;Hettstedt, Mansfelder Str.;2492;de:15087:2492;Hettstedt;15087220;11,508180;51,639458
420;Klostermansfeld, Bahnhofstr.;2423;de:15087:2423;Klostermansfeld;15087260;11,494273;51,577446
420;Klostermansfeld, Siebigeröder Str.;2426;de:15087:2426;Klostermansfeld;15087260;11,491347;51,583576
420;Kreisfeld, Eislebener Str. (Hergisdorf);2405;de:15087:2405;Hergisdorf;15087210;11,498848;51,529081
420;Kreisfeld (Hergisdorf);2404;de:15087:2404;Hergisdorf;15087210;11,485352;51,530573
420;Leimbach (Mansfeld), Brücke;2396;de:15087:2396;Mansfeld;15087275;11,462040;51,600665
420;Leimbach (Mansfeld), Denkmal;2375;de:15087:2375;Mansfeld;15087275;11,464168;51,604495
420;Leimbach (Mansfeld), Hettstedter Str.;2397;de:15087:2397;Mansfeld;15087275;11,471946;51,605769
420;Leimbach (Mansfeld), Sonne;2376;de:15087:2376;Mansfeld;15087275;11,462115;51,603639
420;Lu. Eisleben, Bahnhof (Bus);2635;de:15087:2635;Eisleben;15087130;11,552016;51,518487
420;Lu. Eisleben, Breiter Weg;2636;de:15087:2636;Eisleben;15087130;11,539322;51,527825
420;Lu. Eisleben, Busbahnhof;2637;de:15087:2637;Eisleben;15087130;11,548543;51,531383
420;Lu. Eisleben, Ecke Hohetorstr.;2639;de:15087:2639;Eisleben;15087130;11,542603;51,530073
420;Lu. Eisleben, Friedensstr.;2616;de:15087:2616;Eisleben;15087130;11,543060;51,521720
420;Lu. Eisleben, Fritz-Wenck-Str.;2618;de:15087:2618;Eisleben;15087130;11,538306;51,524862
420;Lu. Eisleben, Kasseler Str.;2623;de:15087:2623;Eisleben;15087130;11,535686;51,524901
420;Lu. Eisleben, Krughütte;2626;de:15087:2626;Eisleben;15087130;11,529432;51,524146
420;Lu. Eisleben, Landwehr;2634;de:15087:2634;Eisleben;15087130;11,556007;51,523632
420;Lu. Eisleben, Mansfelder Hof;2628;de:15087:2628;Eisleben;15087130;11,552537;51,525991
420;Lu. Eisleben, Plan (Zentrum);3368;de:15087:3368;Eisleben;15087130;11,549509;51,527775
420;Lu. Eisleben, Rathenaustr.;2605;de:15087:2605;Eisleben;15087130;11,554847;51,520403
420;Mansfeld (Südharz), Oberstadt;2399;de:15087:2399;Mansfeld;15087275;11,455427;51,595553
420;Mansfeld (Südharz), Schloss;2401;de:15087:2401;Mansfeld;15087275;11,463699;51,596117
420;Wimmelburg;2135;de:15087:2135;Wimmelburg;15087470;11,506839;51,521332
420;Wimmelburg, Center;2134;de:15087:2134;Wimmelburg;15087470;11,514149;51,520888
420;Ziegelrode (Ahlsdorf);2102;de:15087:2102;Ahlsdorf;15087010;11,471322;51,550423
