Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
301;Halle (Saale), Angerstr.;9940;de:15002:9940;Halle (Saale);15002000;11,956652;51,524136
301;Halle (Saale), Hauptbahnhof/ZOB;5438;de:15002:5438;Halle (Saale);15002000;11,984570;51,477440
301;Halle (Saale), Pfarrstr.;5099;de:15002:5099;Halle (Saale);15002000;11,958748;51,513132
301;Halle (Saale), Trotha;5132;de:15002:5132;Halle (Saale);15002000;11,957856;51,519151
301;Halle (Saale), Trothaer Str.;30205;de:15002:30205;Halle (Saale);15002000;11,956393;51,518361
301;Kaltenmark, Gemeinde;30602;de:15088:30602;Petersberg;15088295;11,940249;51,616829
301;Kaltenmark, Hallesche Str.;9978;de:15088:9978;Petersberg;15088295;11,943610;51,618102
301;Kösseln, Ernst-Thälmann-Str.;10019;de:15088:10019;Wettin-Löbejün;15088216;11,977528;51,640919
301;Krosigk, Am Mühlteich;10038;de:15088:10038;Petersberg;15088295;11,935045;51,610711
301;Krosigk, Wassermühle;30132;de:15088:30132;Petersberg;15088295;11,936369;51,614004
301;Löbejün, Am Stadtgut;30515;de:15088:30515;Wettin-Löbejün;15088216;11,899602;51,637099
301;Löbejün, Berggasse;30605;de:15088:30605;Wettin-Löbejün;15088216;11,905432;51,639013
301;Löbejün, Dalenaer Weg;30277;de:15088:30277;Wettin-Löbejün;15088216;11,898149;51,640353
301;Löbejün, Gärtnerei Ackermann;9809;de:15088:9809;Wettin-Löbejün;15088216;11,927212;51,638876
301;Löbejün, Kochstor;10095;de:15088:10095;Wettin-Löbejün;15088216;11,906851;51,637252
301;Nehlitz Rotes Haus;10165;de:15088:10165;Petersberg;15088295;11,950673;51,573825
301;Petersberg (Saalekreis), Grüne Gasse;10187;de:15088:10187;Petersberg;15088295;11,952610;51,593457
301;Petersberg (Saalekreis), Siedlung;10186;de:15088:10186;Petersberg;15088295;11,965628;51,594756
301;Petersberg (Saalekreis), Steinbruch [K2119];30541;de:15088:30541;Petersberg;15088295;11,941290;51,593950
301;Petersberg (Saalekreis), Steinbruch [L145];10188;de:15088:10188;Petersberg;15088295;11,940799;51,594095
301;Petersberg (Saalekreis), Tierpark;85401;de:15088:85401;Petersberg;15088295;11,958197;51,593020
301;Plötz, Abzweig;9586;de:15088:9586;Wettin-Löbejün;15088216;11,936084;51,637081
301;Plötz, Dorfplatz;10192;de:15088:10192;Wettin-Löbejün;15088216;11,940143;51,637032
301;Plötz, Friedhof;30456;de:15088:30456;Wettin-Löbejün;15088216;11,945700;51,637425
301;Plötz, Kreisstr.;10193;de:15088:10193;Wettin-Löbejün;15088216;11,952217;51,638106
301;Schlettau (Wettin);10226;de:15088:10226;Wettin-Löbejün;15088216;11,881062;51,653001
301;Sennewitz, Döckritzanger;10236;de:15088:10236;Petersberg;15088295;11,955415;51,537959
301;Sennewitz, Karl-Liebknecht-Str.;10235;de:15088:10235;Petersberg;15088295;11,957698;51,542702
301;Sennewitz, Kirche;30388;de:15088:30388;Petersberg;15088295;11,951265;51,542010
