Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Zerbst/Anhalt, Amtsmühlenweg/Bäcker Weiß;22911;de:15082:22911;12,071064;51,956239;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, An der Geistwiese;7691;de:15082:7691;12,070207;51,959453;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Anger/Heidetor;7698;de:15082:7698;12,089793;51,972534;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Bahnhof;90386;;12,088927;51,953820;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Bahnhof (Bus);7692;de:15082:7692;12,089293;51,954173;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Bahnhofstr.;7704;de:15082:7704;12,091557;51,956511;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Brauereiweg;22912;de:15082:22912;12,080625;51,956681;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Breitestein;7696;de:15082:7696;12,083413;51,970786;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Dessauer Str./Schule;7792;de:15082:7792;12,088222;51,960923;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Dobritzer Str.;7708;de:15082:7708;12,096010;51,974672;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Dohlenweg;7689;de:15082:7689;12,073982;51,956352;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Dr.-Martin-Luther-Promenade;7697;de:15082:7697;12,085684;51,973757;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Eckernkamp;22913;de:15082:22913;12,066138;51,968703;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Einkaufscenter;7702;de:15082:7702;12,099082;51,962652;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Feuerberg;22915;de:15082:22915;12,060326;51,970140;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Flughafen;6050;de:15082:6050;12,119303;51,991642;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Francisceum;7673;de:15082:7673;12,090190;51,969008;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Frauentor;7701;de:15082:7701;12,091565;51,964881;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Fritz-Brand Str.;22914;de:15082:22914;12,086167;51,962146;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Gartenstr.;7694;de:15082:7694;12,077516;51,966086;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Goethestr.;22919;de:15082:22919;12,094458;51,975378;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Grüne Str.;9529;de:15082:9529;12,070649;51,971660;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Güterglücker Str.;6624;de:15082:6624;12,072489;51,968132;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Heidetor;7739;de:15082:7739;12,091611;51,972297;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Jannowitzbrücke/Sporthalle;7722;de:15082:7722;12,096955;51,956720;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Jeversche Str./Gymnasium;30015;de:15082:30015;12,086945;51,960759;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Karl-Marx Str.;22918;de:15082:22918;12,092080;51,953549;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
